turmas,turma,ciclo,irmao_(10%),sindicato_(30%),funcionarios_(100%),10%,15%,20%,25%,30%,35%,40%,45%,50%,65%,79%,80%,90%,95%,100%,total_alunos,total_bolsas,bolsas_perc_alunos,total_bolsa_edital,bolsa_edital_total_bolsas_perc,irmao_(10%),sindicato_(30%),funcionarios_(100%),10%,15%,20%,25%,30%,35%,40%,45%,50%,65%,79%,80%,90%,95%,100%,total_isencoes,isencao_bolsa_edital,irmao_(10%),sindicato_(30%),funcionarios_(100%),10%,15%,20%,25%,30%,35%,40%,45%,50%,65%,79%,80%,90%,95%,100%,mensalidade_integral,mensalidade_bolsistas,total_mensalidades,desconto_bolsa_social,mensalidade_atual,reajuste_5pct,reajuste_7pct,reajuste_10pct
Maternal M,Maternal,0,9,0,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,18,15,83.33,4,26.7,1531.8,0,3404,170.2,255.3,0,0,0,595.7,0,0,851,0,0,0,0,0,0,1872.2,1872.2,13786.2,0,0,1531.8,1446.7,0,0,0,1106.3,0,0,851,0,0,0,0,0,0,5106,18722,23828,4935.8,1702,1787,1912,2103
Maternal T,Maternal,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,9,3,33.33,3,100,0,0,0,0,0,0,0,0,0,0,1417.5,787.5,0,0,0,0,0,0,2205,2205,0,0,0,0,0,0,0,0,0,0,1732.5,787.5,0,0,0,0,0,0,9450,2520,11970,2520,1575,1654,1770,1946
Jardim M,Jardim,0,12,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,26,16,61.54,2,12.5,2064,0,3440,0,258,0,430,0,0,0,0,0,0,0,0,0,0,0,688,688,18576,0,0,0,1462,0,1290,0,0,0,0,0,0,0,0,0,0,0,17200,21328,38528,2752,1720,1806,1932,2126
Jardim T,Jardim,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13,3,23.08,3,100,0,0,0,159.3,0,318.6,0,0,0,0,0,0,1035.45,0,0,0,0,0,1513.4,1513.4,0,0,0,1433.7,0,1274.4,0,0,0,0,0,0,716.85,0,0,0,0,0,15930,3425,19355,3425,1593,1673,1790,1969
1° ano,1° ano,1,6,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,23,14,60.87,5,35.7,1163.4,0,5817,0,581.7,0,0,1163.4,0,0,0,0,0,0,0,0,0,1939,3684.1,3684.1,10470.6,0,0,0,3296.3,0,0,2714.6,0,0,0,0,0,0,0,0,0,0,17451,16481.5,33932.5,6010.9,1939,2036,2178,2396
2° ano,2° ano,1,7,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,29,13,44.83,3,23.1,1357.3,0,5817,0,581.7,387.8,0,0,0,0,0,0,0,0,0,0,0,0,969.5,969.5,12215.7,0,0,0,3296.3,1551.2,0,0,0,0,0,0,0,0,0,0,0,0,31024,17063.2,48087.2,4847.5,1939,2036,2178,2396
3° ano,3° ano,1,3,0,6,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,30,15,50,6,40,581.7,0,11634,193.9,581.7,387.8,0,1163.4,0,0,0,0,0,0,0,0,0,0,2326.8,2326.8,5235.3,0,0,1745.1,3296.3,1551.2,0,2714.6,0,0,0,0,0,0,0,0,0,0,29085,14542.5,43627.5,9307.2,1939,2036,2178,2396
4° ano,4° ano,1,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,23,8,34.78,3,37.5,775.6,0,1939,193.9,0,387.8,0,581.7,0,0,0,0,0,0,0,0,0,0,1163.4,1163.4,6980.4,0,0,1745.1,0,1551.2,0,1357.3,0,0,0,0,0,0,0,0,0,0,29085,11634,40719,4653.6,1939,2036,2178,2396
5° ano,5° ano,2,3,3,2,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,28,14,50,6,42.9,589.5,1768.5,3930,0,884.25,0,491.25,0,0,0,0,1965,0,0,0,0,0,0,3340.5,3340.5,5305.5,4126.5,0,0,5010.75,0,1473.75,0,0,0,0,1965,0,0,0,0,0,0,27510,17881.5,45391.5,8449.5,1965,2063,2208,2428
6° ano,6° ano,2,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,7,31.82,1,14.3,796,0,3980,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,398,398,7164,0,0,0,0,1592,0,0,0,0,0,0,0,0,0,0,0,0,29850,8756,38606,1592,1990,2090,2236,2459
